Date,Open,High,Low,Close,Adj Close,Volume
2017-01-05,7630.0,7635.0,7520.0,7570.0,7570.0,19860354
2017-01-06,7425.0,7525.0,7415.0,7520.0,7520.0,14776620
2017-01-10,7475.0,7535.0,7350.0,7395.0,7395.0,18112144
2017-01-11,7440.0,7470.0,7405.0,7445.0,7445.0,9502114
2017-01-12,7370.0,7375.0,7210.0,7260.0,7260.0,25218338
2017-01-13,7295.0,7385.0,7275.0,7380.0,7380.0,14233442
2017-01-16,7325.0,7350.0,7205.0,7230.0,7230.0,14442768
2017-01-17,7200.0,7205.0,7020.0,7020.0,7020.0,24238046
2017-01-18,6980.0,7110.0,6890.0,7075.0,7075.0,23680962
2017-01-19,7205.0,7245.0,7130.0,7215.0,7215.0,15145452
2017-01-20,7195.0,7285.0,7175.0,7260.0,7260.0,13919880
2017-01-23,7125.0,7175.0,7055.0,7065.0,7065.0,17472636
2017-01-24,7000.0,7085.0,6980.0,6995.0,6995.0,15386054
2017-01-25,7225.0,7245.0,7135.0,7185.0,7185.0,14604364
2017-01-26,7330.0,7460.0,7320.0,7440.0,7440.0,19416818
2017-01-27,7495.0,7515.0,7450.0,7490.0,7490.0,16057636
2017-01-30,7440.0,7450.0,7375.0,7415.0,7415.0,11820610
2017-01-31,7250.0,7295.0,7175.0,7185.0,7185.0,20308628
2017-02-01,7095.0,7260.0,7080.0,7255.0,7255.0,14479316
2017-02-02,7265.0,7270.0,7035.0,7065.0,7065.0,15883956
2017-02-03,7155.0,7185.0,7000.0,7075.0,7075.0,20403292
2017-02-06,7205.0,7210.0,7060.0,7120.0,7120.0,12781286
2017-02-07,7025.0,7120.0,6990.0,7065.0,7065.0,11232920
2017-02-08,7090.0,7145.0,7045.0,7145.0,7145.0,8515808
2017-02-09,7095.0,7130.0,7045.0,7075.0,7075.0,10329608
2017-02-10,7295.0,7435.0,7285.0,7420.0,7420.0,18393702
2017-02-13,7530.0,7530.0,7450.0,7480.0,7480.0,14084024
2017-02-14,7510.0,7515.0,7305.0,7325.0,7325.0,16880292
2017-02-15,7475.0,7510.0,7460.0,7465.0,7465.0,11651482
2017-02-16,7450.0,7460.0,7325.0,7395.0,7395.0,12768178
2017-02-17,7305.0,7340.0,7255.0,7310.0,7310.0,12819824
2017-02-20,7260.0,7340.0,7215.0,7330.0,7330.0,8419618
2017-02-21,7340.0,7430.0,7330.0,7420.0,7420.0,7411216
2017-02-22,7455.0,7460.0,7380.0,7420.0,7420.0,8950798
2017-02-23,7415.0,7420.0,7325.0,7415.0,7415.0,8864272
2017-02-24,7315.0,7430.0,7295.0,7355.0,7355.0,12616412
